id;order_date;status;customer_id
1;2026-09-07T16:18:08;CANCELLED;8114
2;2026-09-08T03:40:09;SHIPPED;5355
3;2026-09-07T18:56:04;SHIPPED;15174
4;2026-09-07T22:45:27;SHIPPED;27161
5;2026-09-08T00:08:05;CONFIRMED;871
6;2026-09-07T22:38:22;CONFIRMED;24186
7;2026-09-08T03:14:16;CONFIRMED;20089
8;2026-09-08T04:22:29;PENDING;12325
9;2026-09-08T12:12:11;PENDING;28836
10;2026-09-07T20:11:48;CONFIRMED;12533
11;2026-09-08T01:12:21;CANCELLED;7816
12;2026-09-07T14:24:30;SHIPPED;27646
13;2026-09-08T11:32:47;CONFIRMED;30797
14;2026-09-08T04:02:50;CANCELLED;25516
15;2026-09-08T02:14:22;PENDING;21014
16;2026-09-08T03:54:02;PENDING;12598
17;2026-09-07T14:23:24;CANCELLED;11646
18;2026-09-08T08:15:47;CONFIRMED;23081
19;2026-09-07T20:59:18;CONFIRMED;1632
20;2026-09-07T13:18:57;SHIPPED;2711
21;2026-09-07T17:42:57;CANCELLED;25453
22;2026-09-08T10:09:28;CANCELLED;15578
23;2026-09-07T13:59:00;SHIPPED;26721
24;2026-09-08T11:36:59;CONFIRMED;25655
25;2026-09-07T14:45:12;CONFIRMED;27231
26;2026-09-07T17:00:07;SHIPPED;7873
27;2026-09-07T15:04:56;CANCELLED;19267
28;2026-09-08T04:49:55;SHIPPED;14150
29;2026-09-08T01:17:18;CANCELLED;203
30;2026-09-08T06:10:23;PENDING;16786
